kode_divisi,nama_divisi,deskripsi,status
IT,Information Technology,"Asistensi KBM IT, sistem, jaringan, komputer, dan app/internal tools.",true
DKV,Creative & Media,"Desain, video, dokumentasi, livestream, publikasi, dan konten.",true
EN,Bahasa Inggris,"English area, English dorm program, modul, speaking club, tutoring.",true
DEEN,Diniyah,"Tahfidz, mutun, imam/muadzin, TPQ/SDIT diniyah support.",true
ASR,Keasramaan,"Pendampingan kamar/asrama, adab, kedisiplinan, rutinitas santri.",true
OPS,Operations,"Administrasi, front office, CS, sarpras, logistik, layanan unit.",true
PKBM,PKBM,"BOS, ARKAS, SIMBOS, data pendidikan, dan administrasi PKBM.",true
